Date,Open,High,Low,Close,Adj Close,Volume
2021-12-27,23.920000,24.129999,20.520000,20.639999,20.639999,21781400
2022-01-03,21.045000,21.200001,14.940000,15.610000,15.610000,53286100
2022-01-10,15.470000,17.299999,12.980000,13.340000,13.340000,44633500
2022-01-17,13.465000,13.740000,10.000000,10.330000,10.330000,58408200
2022-01-24,9.580000,11.090000,7.500000,8.510000,8.510000,99292900
2022-01-31,8.650000,10.420000,7.820000,8.380000,8.380000,76870300
2022-02-07,8.470000,9.490000,7.780000,7.870000,7.870000,67276600
2022-02-14,7.860000,8.440000,6.200000,6.830000,6.830000,95399700
2022-02-21,6.670000,7.090000,5.710000,6.980000,6.980000,48298200
2022-02-28,6.925000,7.875000,6.750000,6.850000,6.850000,44601100
2022-03-07,6.870000,7.481000,6.570000,7.010000,7.010000,38816500
2022-03-14,6.920000,8.490000,6.460000,8.270000,8.270000,46999200
2022-03-21,8.300000,8.715000,7.410000,7.660000,7.660000,34019500
2022-03-28,7.725000,9.360000,7.535000,8.240000,8.240000,46128700
2022-04-04,8.255000,8.720000,6.920000,7.060000,7.060000,29587200
2022-04-11,6.890000,7.590000,6.600000,6.940000,6.940000,17454400
2022-04-18,6.870000,7.160000,6.050000,6.120000,6.120000,26422800
2022-04-25,6.011000,6.275000,5.440000,5.740000,5.740000,32424600
2022-05-02,5.710000,6.060000,4.860000,4.980000,4.980000,32935000
2022-05-09,4.780000,5.420000,3.940000,5.390000,5.390000,61313600
2022-05-16,5.330000,5.705000,4.971000,5.450000,5.450000,35183700
2022-05-23,5.400000,5.740000,4.850000,5.670000,5.670000,26082400
2022-05-30,5.650000,5.925000,5.250000,5.520000,5.520000,25329700
2022-06-06,5.665000,5.880000,4.100000,4.190000,4.190000,31131700
2022-06-13,4.000000,4.200000,3.620000,4.120000,4.120000,42703500
2022-06-20,4.190000,4.398000,3.934000,4.180000,4.180000,51016900
2022-06-27,4.200000,4.230000,3.530000,3.620000,3.620000,22094000
2022-07-04,3.560000,4.350000,3.510000,4.280000,4.280000,17056100
2022-07-11,4.220000,4.240000,3.654000,3.840000,3.840000,17030900
2022-07-18,3.920000,4.460000,3.870000,4.150000,4.150000,15054400
2022-07-25,4.150000,4.270000,3.810000,4.250000,4.250000,13365800
2022-08-01,4.220000,5.080000,4.060000,5.030000,5.030000,17411400
2022-08-08,5.150000,7.445000,4.650000,6.060000,6.060000,82063200
2022-08-15,5.990000,6.050000,4.790000,4.870000,4.870000,24318500
2022-08-22,4.730000,4.870000,4.525000,4.620000,4.620000,15337100
2022-08-29,4.500000,4.770000,4.190000,4.190000,4.190000,15229900
2022-09-05,4.180000,4.740000,4.082000,4.560000,4.560000,11570500
2022-09-12,4.630000,4.750000,3.930000,4.050000,4.050000,22178300
2022-09-19,4.000000,4.150000,3.600000,3.740000,3.740000,15837400
2022-09-26,3.710000,4.095000,3.710000,3.790000,3.790000,13979400
2022-10-03,3.790000,4.300000,3.722000,3.820000,3.820000,13323300
2022-10-10,3.830000,3.830000,3.340000,3.400000,3.400000,12873500
2022-10-17,3.540000,3.980000,3.288000,3.440000,3.440000,12287800
2022-10-24,3.460000,3.770000,3.220000,3.580000,3.580000,14971600
2022-10-31,3.560000,3.650000,2.850000,2.940000,2.940000,18207400
2022-11-07,2.930000,3.900000,2.620000,3.770000,3.770000,39423200
2022-11-14,3.730000,3.900000,3.220000,3.230000,3.230000,19035800
2022-11-21,3.180000,3.330000,3.080000,3.270000,3.270000,8193500
2022-11-28,3.230000,3.330000,2.910000,3.120000,3.120000,17467400
2022-12-05,3.090000,3.190000,2.665000,2.730000,2.730000,13473600
2022-12-12,2.720000,3.090000,2.650000,2.800000,2.800000,20812700
2022-12-19,2.810000,2.810000,2.450000,2.570000,2.570000,16143400
2022-12-26,2.500000,2.820000,2.370000,2.800000,2.800000,15334000
2023-01-02,2.870000,2.900000,2.530000,2.720000,2.720000,10512500
2023-01-09,2.750000,3.220000,2.620000,3.110000,3.110000,17024500
2023-01-16,3.150000,3.380000,2.950000,3.060000,3.060000,8104500
2023-01-23,2.970000,3.590000,2.870000,3.530000,3.530000,15137500
2023-01-30,3.530000,4.070000,3.370000,3.660000,3.660000,18862000
2023-02-06,3.585000,3.760000,3.260000,3.340000,3.340000,13651500
2023-02-13,3.330000,3.770000,3.255000,3.600000,3.600000,14120400
2023-02-20,3.540000,3.570000,3.020000,3.075000,3.075000,15364700
2023-02-27,3.090000,3.140000,2.785000,2.970000,2.970000,15259000
2023-03-06,3.025000,3.070000,2.610000,2.660000,2.660000,13860200
2023-03-13,2.610000,2.750000,2.500000,2.670000,2.670000,19867200
2023-03-20,2.670000,2.850000,2.510000,2.690000,2.690000,13782200
2023-03-27,2.700000,2.750000,2.540000,2.730000,2.730000,11332400
2023-04-03,2.700000,2.750000,2.520000,2.720000,2.720000,10128400
2023-04-10,2.670000,2.870000,2.630000,2.750000,2.750000,10149300
2023-04-17,2.760000,2.840000,2.620000,2.640000,2.640000,9035800
2023-04-24,2.630000,2.670000,2.310000,2.330000,2.330000,11238700
2023-05-01,2.330000,2.600000,2.200000,2.590000,2.590000,13707600
2023-05-08,2.620000,2.950000,2.560000,2.770000,2.770000,15545300
2023-05-15,2.760000,2.929000,2.710000,2.720000,2.720000,10279900
2023-05-22,2.710000,2.890000,2.680000,2.760000,2.760000,10258000
2023-05-29,2.840000,3.000000,2.560000,2.610000,2.610000,28747400
2023-06-05,2.650000,3.020000,2.650000,2.880000,2.880000,18545700
2023-06-12,2.890000,3.390000,2.760000,3.260000,3.260000,36814000
2023-06-19,3.260000,3.260000,2.850000,2.870000,2.870000,18504300
2023-06-26,2.850000,3.220000,2.780000,3.150000,3.150000,11658800
2023-07-03,3.110000,3.155000,2.885000,3.090000,3.090000,7355400
2023-07-10,3.090000,3.780000,3.041000,3.490000,3.490000,14022300
2023-07-17,3.470000,3.570000,3.215000,3.280000,3.280000,11515600
2023-07-24,3.280000,3.390000,3.140000,3.270000,3.270000,9671200
2023-07-31,3.290000,3.500000,3.125000,3.170000,3.170000,11479400
2023-08-07,3.160000,3.275000,2.640000,2.700000,2.700000,17121500
2023-08-14,2.700000,2.700000,2.330000,2.480000,2.480000,12780600
2023-08-21,2.480000,2.660000,2.410000,2.500000,2.500000,9028500
2023-08-28,2.520000,2.740000,2.460000,2.650000,2.650000,7758300
2023-09-04,2.640000,2.650000,2.440000,2.500000,2.500000,7909600
2023-09-11,2.520000,2.550000,2.320000,2.350000,2.350000,11366000
2023-09-18,2.350000,2.350000,2.100000,2.160000,2.160000,10764500
2023-09-25,2.120000,2.250000,2.110000,2.170000,2.170000,9938600
2023-10-02,2.170000,2.240000,2.080000,2.220000,2.220000,7692200
2023-10-09,2.190000,2.290000,2.060000,2.090000,2.090000,7364800
2023-10-16,2.100000,2.200000,1.980000,2.000000,2.000000,9003200
2023-10-23,1.950000,2.110000,1.840000,1.980000,1.980000,11639200
2023-10-30,2.020000,2.240000,1.920000,2.200000,2.200000,10926000
2023-11-06,2.270000,2.709000,2.060000,2.480000,2.480000,20629800
2023-11-13,2.430000,2.775000,2.390000,2.710000,2.710000,11521500
2023-11-20,2.680000,2.720000,2.570000,2.660000,2.660000,5373000
2023-11-27,2.630000,2.690000,2.461000,2.690000,2.690000,10604200
2023-12-04,2.650000,2.775000,2.440000,2.540000,2.540000,11824100
2023-12-11,2.510000,2.815000,2.370000,2.640000,2.640000,15746100
2023-12-18,2.650000,2.840000,2.520000,2.820000,2.820000,13774500
2023-12-25,2.850000,2.989000,2.662000,2.690000,2.690000,10602700
2024-01-01,2.660000,2.680000,2.340000,2.350000,2.350000,8889700
2024-01-08,2.400000,2.440000,2.300000,2.330000,2.330000,6536900
2024-01-15,2.330000,2.330000,2.140000,2.250000,2.250000,7004400
2024-01-22,2.290000,2.436000,2.280000,2.320000,2.320000,6898800
2024-01-29,2.320000,2.470000,2.200000,2.290000,2.290000,9191400
2024-02-05,2.320000,2.440000,2.220000,2.440000,2.440000,8430700
2024-02-12,2.400000,2.540000,2.250000,2.470000,2.470000,10953500
2024-02-19,2.460000,2.540000,2.010000,2.130000,2.130000,22418100
2024-02-26,2.130000,2.230000,2.070000,2.120000,2.120000,12196400
2024-03-04,2.130000,2.140000,1.890000,1.970000,1.970000,13745100
2024-03-11,1.950000,1.990000,1.740000,1.770000,1.770000,19932900
2024-03-18,1.800000,1.980000,1.770000,1.820000,1.820000,12888000
2024-03-25,1.820000,2.340000,1.780000,2.260000,2.260000,17372300
2024-04-01,2.280000,2.280000,1.980000,2.040000,2.040000,11979900
2024-04-08,2.050000,2.130000,1.870000,1.930000,1.930000,10243500
2024-04-15,1.920000,1.950000,1.730000,1.740000,1.740000,9392100
2024-04-22,4.050000,4.990000,3.240000,4.720000,4.720000,123797000
2024-04-26,4.680000,4.790000,4.665000,4.720000,4.720000,6066524
