Date,Open,High,Low,Close,Adj Close,Volume
2/3/2020,46.825001,49.5,45.724998,47.868999,47.868999,86298000
2/10/2020,47.910999,59.389,47.653,53.122002,53.122002,210681000
2/17/2020,53.400002,54.968498,50.740002,52.066002,52.066002,86249000
2/24/2020,48.200001,50.404499,42.049999,46.331001,46.331001,164006000
3/2/2020,48.32,51.400002,45.9147,47.207001,47.207001,144809000
3/9/2020,43.082001,45.049999,36.300999,39.09,39.09,163971000
3/16/2020,33.900002,37.254299,30.530001,34.605999,34.605999,194860000
3/23/2020,34.653999,47.056999,33.512001,42.161999,42.161999,163819000
3/30/2020,42.348999,43.959,33.455002,35.764999,35.764999,136430000
4/6/2020,38,43.900002,36.93,41.773998,41.773998,122694000
4/13/2020,42.369999,59.182999,41.780998,59.039001,59.039001,193977000
4/20/2020,58.5,66.573997,55.601002,64.319,64.319,327348000
4/27/2020,66.260002,66.260002,59.502998,61.363998,61.363998,150868000
5/4/2020,62.063999,73.924004,61.701,70.897003,70.897003,235108000
5/11/2020,70.695999,77.478996,70.377998,76.699997,76.699997,176105000
5/18/2020,77,82.638,71.319,82.516998,82.516998,190809000
5/25/2020,84.199997,84.400002,68.5,75.779999,75.779999,203803000
6/1/2020,75.472,78.43,70.202003,72.777,72.777,116442000
6/8/2020,71.5,76.552002,70.801003,74.258003,74.258003,93099000
6/15/2020,77.699997,89.556,76.986504,88.099998,88.099998,156487000
6/22/2020,89.512001,92.800003,86.800003,91,91,133860000
6/29/2020,91.399002,105.944,87.642998,102.997002,102.997002,123973000
7/6/2020,105.249001,105.900002,97.300003,103.185997,103.185997,142725000
7/13/2020,104.300003,107.497597,90.174004,92.813004,92.813004,139568000
7/20/2020,92.900002,102.498001,88.318001,92.981003,92.981003,138123000
7/27/2020,94.757004,110.792,93.514,102.400002,102.400002,181460000
8/3/2020,103.199997,110.5,102.896004,105.311996,105.311996,87383000
8/10/2020,105.5,106.400002,96.473999,98.790001,98.790001,93809000
8/17/2020,99.900002,104.697998,99.317001,102.112,102.112,64087000
8/24/2020,103.199997,111.598999,98.888,104.206001,104.206001,92106000
8/31/2020,104.850998,114.691002,89.648003,97.302002,97.302002,123174000
9/7/2020,92.091003,97.5,89.75,91.449997,91.449997,72788000
9/14/2020,92.773003,95.300003,83.940002,90.134003,90.134003,133236000
9/21/2020,88.306,96.125,88.099998,96.092003,96.092003,101744000
9/28/2020,97.000999,106.341003,95.099998,102.899002,102.899002,100024000
10/5/2020,103.598999,109.887703,101.438004,109.599998,109.599998,64800000
10/12/2020,110.513,113,104.403,106.721001,106.721001,57643000
10/19/2020,107.078003,109.019997,99.050003,102.622002,102.622002,48777000
10/26/2020,101.900002,108.800003,90.622002,92.542999,92.542999,109166000
11/2/2020,93.457001,104.508003,89.888199,104.5,104.5,66412000
11/9/2020,99,99.171898,87.5,91.830002,91.830002,106762000
11/16/2020,89.011002,99.800003,88,98.850998,98.850998,68638000
11/23/2020,98.849998,104.400002,96.300003,103.439003,103.439003,48375000
11/30/2020,104.5,111.2407,103.5,105.389,105.389,79553000
12/7/2020,105.801003,110.699997,101.699997,105.787003,105.787003,51712000
12/14/2020,105,120.689499,103.916,117.096001,117.096001,84385000
12/21/2020,116.498001,128.518494,114.5,122.552002,122.552002,70704000
12/28/2020,122.986,123.153999,112.824997,113.195,113.195,49276000
1/4/2021,113.799004,119.488998,107.605003,118.891998,118.891998,65737000
1/11/2021,117.050003,123.010002,114.699997,117.046997,117.046997,47839000
1/18/2021,118.690002,121.632004,115.016998,119.669998,119.669998,29142000
1/25/2021,120.615997,124.745003,108.099998,109.859001,109.859001,58645000
2/1/2021,110.599998,129.677505,109.968002,128.774994,128.774994,64592000
2/8/2021,130.386002,149.975006,129.300995,145.548996,145.548996,74073000
2/15/2021,146.852997,149.227997,134.5,143.501007,143.501007,78035000
2/22/2021,139.778,141.479996,120.543999,128.097,128.097,91402000
3/1/2021,131.5,133,102.156998,113.100998,113.100998,103904000
3/8/2021,112.603996,116.997002,107.082001,114.063004,114.063004,91204000
3/15/2021,113.723999,119,109.800003,112.095001,112.095001,45487000
3/22/2021,112.314003,118.5,100.514,106.521004,106.521004,74800000
3/29/2021,105.360001,117.898003,101.279999,115.541,115.541,51125000
4/5/2021,117.508003,123.449997,113.590103,122.730003,122.730003,49299000
4/12/2021,122,125,117.601997,120.779999,120.779999,51283000
4/19/2021,119.199997,120.234001,108.725998,109.903,109.903,46911000
4/26/2021,111.168999,130.160995,110.728996,118.250999,118.250999,99176000
5/3/2021,118.672997,119.435997,106.716003,110.860001,110.860001,85581000
5/10/2021,109.900002,112.158997,102.5075,108.500999,108.500999,73116000
5/17/2021,107.652,124.599998,107.010002,122.412003,122.412003,81780000
5/24/2021,122.480003,128.098999,121.459503,124.287003,124.287003,58973000
5/31/2021,125.417,127.892998,119.550003,120.573997,120.573997,36020000
6/7/2021,120.912003,125.223999,118.25,124.702003,124.702003,37885000
6/14/2021,124.699997,148.5495,124.534599,146.686996,146.686996,111892000
6/21/2021,147.326004,155.223007,142.903,147.354004,147.354004,99361000
6/28/2021,148.378006,152.314499,144.199997,146.475006,146.475006,51899000
7/5/2021,146.806,158.774002,145.231995,149.498993,149.498993,65152000
7/12/2021,150.292999,155,142.001999,144.263,144.263,59630000
7/19/2021,141.516006,165,139.300995,164.332001,164.332001,73193000
7/26/2021,164.923004,165,149.020004,149.992996,149.992996,81695000
8/2/2021,150.382996,157.600006,149.305099,152.505997,152.505997,52286000
8/9/2021,152.580002,158.337006,145.593994,149.800003,149.800003,49279000
8/16/2021,149.145996,153.460007,143.75,145.070007,145.070007,46545000
8/23/2021,145.621002,156.199997,145.307907,153.141998,153.141998,41774000
8/30/2021,154.093994,158.800003,152.128998,155.425003,155.425003,32983000
9/6/2021,155.473999,156.376602,147.574997,148.410004,148.410004,28446000
9/13/2021,149.199997,149.539001,143.235992,148.628998,148.628998,37084000
9/20/2021,144.003006,148.496002,140.112,144.399994,144.399994,41198000
9/27/2021,143.600006,145.169998,133.925003,135.076004,135.076004,45943000
10/4/2021,132.632004,142.899994,128.589996,137.802994,137.802994,48209000
10/11/2021,136.899994,142.987,135.100006,142.457993,142.457993,32173000
10/18/2021,142.503006,150.671997,140.447998,142.585007,142.585007,44350000
10/25/2021,142.888,150.470993,132.854004,146.673004,146.673004,85658000
11/1/2021,146.509995,154.999893,145.205002,152.806,152.806,48111000
11/8/2021,154,167.4785,147,166.951996,166.951996,54365000
11/15/2021,165.339996,176.291794,162.850998,169.059998,169.059998,54714000
11/22/2021,170.100998,170.350006,153.212006,157.669998,157.669998,41419000
11/29/2021,157.731995,162.993805,135.703003,141,141,67197000
12/6/2021,137.311996,153.598999,134,146.158005,146.158005,50401000
12/13/2021,144.759995,147.039001,128.001007,132.339996,132.339996,66735000
12/20/2021,130.740005,144.360992,127.188904,143.932999,143.932999,42621000
12/27/2021,144.360992,145.699997,135.136993,137.738998,137.738998,29848000
1/3/2022,139.190002,139.367004,112.139999,114.447998,114.447998,88681000
1/10/2022,111.700996,119.120003,104.8601,110.291,110.291,90085000
1/17/2022,108.721001,112.249001,86.875,88.211998,88.211998,108999000
1/24/2022,83.400002,96.399002,78,87.223,87.223,205586000
1/31/2022,88.190002,98.849998,80.599998,87.599998,87.599998,134041000
2/7/2022,88.155998,93.253998,83.500999,85.400002,85.400002,75605000
2/14/2022,84.637001,89.134804,64.042,65.688004,65.688004,242562000
2/21/2022,63.202999,68.464996,58.502998,67.695,67.695,114168000
2/28/2022,68.975998,71.1175,59.151001,60.084,60.084,98936000
3/7/2022,59.900002,60.606998,51.119999,54.437,54.437,177072000
3/14/2022,54.140999,78,51.001999,78,78,159764000
3/21/2022,69.900002,73.948997,65.303001,67.953003,67.953003,191620000
3/28/2022,68.497002,75.877998,67.066002,69.300003,69.300003,137567000
4/4/2022,69.639,74.134003,60.006001,60.318001,60.318001,147580000
4/11/2022,61.451,64.436996,57.895,57.951,57.951,127500000
4/18/2022,57.5,61.400002,45.403,45.997002,45.997002,200026000
4/25/2022,46.198002,47.584999,41.117001,42.681999,42.681999,191019000
5/2/2022,42.115002,48.799,35.513,37.749001,37.749001,332094000
5/9/2022,36.200001,40.862999,30.806,40.248001,40.248001,344064000
5/16/2022,39.776001,41.369999,34.000999,36.384998,36.384998,276395000
5/23/2022,36.201,37.181499,31.799999,36.903999,36.903999,184667000
5/30/2022,37.441002,40.099998,34.827,35.366001,35.366001,165137000
6/6/2022,36.700001,39.751999,33.931,34.842999,34.842999,194985000
6/13/2022,33.141998,34.014,29.764099,31.688999,31.688999,204578000
6/20/2022,32.400002,38.7897,32.160999,38.522999,38.522999,156593000
6/27/2022,39.248001,39.5,30.700001,31.41,31.41,179557600
7/4/2022,30.84,36.75,29.719999,35.57,35.57,100003100
7/11/2022,34.759998,35.099998,30.02,31.27,31.27,116950900
7/18/2022,31.92,40.68,31.83,37.349998,37.349998,166369300
7/25/2022,37.049999,37.43,30.549999,34.830002,34.830002,229699100
8/1/2022,34.900002,42.59,34.049999,40.810001,40.810001,154542500
8/8/2022,41.41,45.43,36.310001,40.759998,40.759998,189827900
8/15/2022,40.139999,41.099998,34.110001,34.200001,34.200001,137362400
8/22/2022,33.389999,34.709999,31.799999,32.419998,32.419998,122035600
8/29/2022,31.76,33.349998,29.820999,30.110001,30.110001,140832700
9/5/2022,30.15,34.900002,29.07,34.810001,34.810001,118952500
9/12/2022,34.75,35.810001,31.219999,31.73,31.73,132286300
9/19/2022,31.17,33.029999,27.65,28.76,28.76,142065600
9/26/2022,28.67,29.940001,26.379999,26.940001,26.940001,130053000
10/3/2022,27.299999,31.844999,26.48,27.209999,27.209999,159361200
10/10/2022,27.280001,27.389999,23.629999,26.059999,26.059999,139508400
10/17/2022,27.450001,30.82,27.07,29.75,29.75,138202300
10/24/2022,29.32,34.779999,27.83,34.189999,34.189999,198411200
10/31/2022,34.07,36.400002,31.33,32.150002,32.150002,167159700
11/7/2022,32.610001,40.921001,30.440001,39.439999,39.439999,123968300
11/14/2022,39.049999,41.73,36.080002,36.59,36.59,93517300
11/21/2022,35.77,37.040001,34.380001,36.790001,36.790001,53606900
11/28/2022,38.799999,45.060001,36.73,43.060001,43.060001,166863100
12/5/2022,42.77,43.700001,36.560001,38.380001,38.380001,111131800
12/12/2022,37.919998,42.700001,35.650002,36.09,36.09,102473200
12/19/2022,36.099998,37.099998,33.105,33.709999,33.709999,74011700
12/26/2022,33.060001,35.380001,32.349998,34.709999,34.709999,56651600
1/2/2023,35.689999,37.77,34.650002,36.849998,36.849998,71333500
1/9/2023,37.700001,39.07,35.599998,38.889999,38.889999,101903800
1/16/2023,39.189999,41.029999,37.91,40.48,40.48,69910000
1/23/2023,42.110001,50.169998,41.900002,50.080002,50.080002,158065100
1/30/2023,49.580002,54.665001,47.049999,52.93,52.93,115604600
2/6/2023,51.669998,52.889999,47.326,48.299999,48.299999,79254000
2/13/2023,48.380001,53.700001,42.919998,43.610001,43.610001,159169100
2/20/2023,42.130001,42.924999,39.869999,40.75,40.75,85990500
2/27/2023,40.939999,43.488998,39.02,43.400002,43.400002,78897000
3/6/2023,43.709999,45.98,40.52,41.459999,41.459999,88147900
3/13/2023,40.52,45.380001,39.790001,44.68,44.68,86154700
3/20/2023,44.110001,47.32,42.779999,44.98,44.98,73693200
3/27/2023,45.360001,48.134998,44,47.939999,47.939999,59462900
4/3/2023,47.25,48.259998,43.5,45.349998,45.349998,45919800
4/10/2023,44.689999,48.75,44.049,46.389999,46.389999,72424000
4/17/2023,46.110001,49.860001,45.91,48.939999,48.939999,65759300
4/24/2023,48.849998,49.455002,46.169998,48.450001,48.450001,49434300
5/1/2023,48.130001,62.539001,46.080002,62.029999,62.029999,168311800
5/8/2023,61.599998,65.540001,61.009998,61.330002,61.330002,104371300
5/15/2023,60.759998,62.32,59.419998,60.200001,60.200001,56624600
5/22/2023,60.209999,64.045998,57.009998,59.259998,59.259998,80643100
5/29/2023,60.599998,61.490002,55.419998,58.290001,58.290001,55507000
6/5/2023,58.040001,64.82,57.939999,61.360001,61.360001,87965600
6/12/2023,62.099998,67.360001,61.93,64.709999,64.709999,81597400
6/19/2023,65,66.57,61.580002,63.790001,63.790001,45130700
6/26/2023,63.369999,66.305,62.779999,64.599998,64.599998,48314700
7/3/2023,65.040001,66.419998,61.439999,61.669998,61.669998,41313100
7/10/2023,61.25,71.43,60.509998,68.449997,68.449997,66720000
7/17/2023,68.599998,69.889999,65.025002,65.57,65.57,51919500
7/24/2023,67,67.790001,63.525002,66.040001,66.040001,48258500
7/31/2023,66.949997,68.309998,57.669998,57.93,57.93,97459000
8/7/2023,57.610001,58.058998,54.709999,55.27,55.27,53167000
8/14/2023,54.540001,56.200001,51.200001,53.139999,53.139999,50818700
8/21/2023,53.41,57.169998,52.898998,55.540001,55.540001,45378500
8/28/2023,56.240002,67.599998,55.75,66.709999,66.709999,69728500
9/4/2023,66.239998,66.489998,62.785,63.009998,63.009998,34836500
9/11/2023,63.389999,64.919998,61.722,62.380001,62.380001,37712400
9/18/2023,62.040001,62.419998,52.889999,53.080002,53.080002,54389800
9/25/2023,52.709999,55.59,50.59,54.57,54.57,55116600
10/2/2023,54.220001,55.209999,51.02,53.650002,53.650002,52213200
10/9/2023,52.41,55.638,50.689999,51.549999,51.549999,53153300
10/16/2023,51.919998,56.195999,50.619999,51.139999,51.139999,52533400
10/23/2023,50.529999,52.880001,45.810001,46.400002,46.400002,59268300
10/30/2023,47.09,61.84,45.5,61.470001,61.470001,107689700
11/6/2023,61.59,63.34,59.709999,61.34,61.34,58893300
11/13/2023,61.23,68.889999,60.240002,68.339996,68.339996,53959600
11/20/2023,67.730003,71.580002,67.730003,70.349998,70.349998,33764100
11/27/2023,71.809998,75.059998,71.079002,73.860001,73.860001,62898600
12/4/2023,73,75.470001,70.040001,72.519997,72.519997,54693600
12/11/2023,72.43,77.949997,71.07,76.82,76.82,48086600
12/18/2023,75.75,79.989998,75.150002,76.830002,76.830002,45522400
12/25/2023,76.830002,79.730003,76.440002,77.900002,77.900002,28429100
1/1/2024,76.440002,76.629997,70.614998,74.510002,74.510002,44542300
1/8/2024,74.779999,83.190002,74.720001,81.400002,81.400002,48827500
1/15/2024,80.279999,82.139999,76.309998,80.010002,80.010002,49020500
1/22/2024,80.910004,83.360001,79.139999,81.550003,81.550003,36154000
1/29/2024,81.739998,83.574997,75.82,82.93,82.93,50592600
2/5/2024,82.440002,91.440002,79.769997,90.720001,90.720001,59540600
2/12/2024,91.400002,91.57,77.010002,81.290001,81.290001,104545400
2/19/2024,79.949997,80.580002,73.849998,76.239998,76.239998,42465100
2/26/2024,76.309998,78.660004,74.726997,76.589996,76.589996,36077400
3/4/2024,76.470001,79.580002,72.639999,76.160004,76.160004,39873000
3/11/2024,75.599998,79.800003,74.440002,77.150002,77.150002,34896700
3/18/2024,78,83.389999,75.300003,78.720001,78.720001,33875900
3/25/2024,78.099998,79.75,77,77.169998,77.169998,17698900
4/1/2024,77.349998,79.290001,73.690002,75.279999,75.279999,38272800
4/8/2024,75.209999,75.459999,69.190002,70,70,42174000
4/15/2024,70,71.629997,68.014999,69.669998,69.669998,44005400
4/22/2024,70.050003,71.269997,69.32,70.730003,70.730003,4187680
